raceID,firstFavorite,firstTrio,ffExp,ftExp,getTime
202610011101,2.4,14.5,3782.9,8968.38,23:43
202609010301,1.9,9.0,-897.11,3044.87,23:46
202610011112,4.4,22.1,22502.9,17153.58,25:01
202609010312,2.8,16.1,7526.9,10691.58,25:09
202606020112,2.3,10.8,2846.89,4983.48,25:13
202606020111,2.9,14.3,8462.9,8752.98,25:22
