202205050801,16,250,450,740,700,2420,740,1,710,2,3640,4
202205050802,17,220,400,700,620,2220,1070,4,620,1,3460,6
202205050803,16,270,680,1040,1150,3660,1920,5,1880,3,11070,21
202205050804,9,120,210,280,190,480,320,2,190,1,530,2
202205050805,16,310,440,820,910,3270,2480,9,1070,2,6770,11
202205050806,16,190,470,620,1090,2440,1290,5,4600,11,12780,30
202205050807,16,280,840,1300,1170,4200,6350,24,13640,51,87810,293
202205050808,10,260,420,760,670,2170,2050,6,2990,10,17250,56
202205050809,15,160,410,520,540,1380,1310,4,540,1,3910,7
202205050810,16,320,730,1260,1860,6340,2500,5,28390,96,89330,302
202205050811,16,180,680,820,1580,3750,1280,3,2160,5,6750,10
202205050812,18,340,710,1380,1250,4980,1920,4,2360,2,9850,10
202206010101,16,370,1060,1900,1640,6840,46070,109,46240,131,338400,830
202206010102,16,150,470,600,1250,3030,3510,12,2650,7,21660,62
202206010103,15,170,270,400,430,1280,82850,88,24950,52,224010,366
202206010104,11,170,430,620,660,1860,1570,4,5090,19,24170,79
202206010105,9,190,240,440,320,1080,440,1,320,1,1210,3
202206010106,16,320,600,1150,1370,4140,34460,89,14380,47,201990,543
202206010107,16,350,950,1800,1740,7430,4670,18,3160,7,25770,83
202206010108,16,250,1150,1650,2480,8230,4250,12,4470,6,26940,41
202206010109,10,410,1070,2030,1930,7950,3820,13,4640,19,23180,87
202206010110,9,250,370,680,380,1680,2680,11,4600,16,17800,61
202206010111,17,280,640,1050,1140,3900,28410,75,7500,22,75640,225
202206010112,10,250,370,610,750,2080,3770,14,2290,7,16420,51
202206010201,16,430,790,1550,1160,4970,7140,27,84230,119,339510,575
202206010202,16,180,640,900,1350,4160,1080,3,5170,17,12620,36
202206010203,15,400,1070,1920,1550,6540,3630,17,3860,12,21040,61
202206010204,16,210,570,930,1190,3710,930,1,1390,2,4340,2
202206010205,15,220,420,710,770,2470,3970,15,2270,6,16760,50
202206010206,16,330,620,1050,1160,4070,6580,23,3650,9,28180,78
202206010207,16,290,560,990,1180,3640,2080,7,2030,4,11530,28
202206010208,14,290,670,1050,1140,3550,2190,5,4710,13,18950,45
202206010209,16,140,470,580,1000,2580,6710,15,8600,27,37400,101
202206010210,16,410,930,1710,1980,7290,6390,29,4170,11,26810,76
202206010211,16,430,1570,2910,3370,13030,3150,3,14540,51,63160,213
202206010212,11,200,400,620,460,1510,1110,4,6930,23,29400,94
202206010301,16,210,410,650,1140,3360,4320,15,12080,40,68020,206
202206010302,16,240,680,880,920,3390,2500,9,3540,13,13060,34
202206010303,16,320,570,1120,720,3550,3180,16,1630,6,11150,39
202206010304,13,200,350,640,650,1870,7260,24,18580,50,114320,260
202206010305,16,340,760,1450,1650,5500,3590,13,27680,85,109980,323
202206010306,14,300,650,1150,1310,4680,9480,39,4910,12,37390,111
202206010307,16,340,1480,2460,3030,13020,15660,73,13880,58,80320,334
202206010308,15,360,770,1480,1150,4910,24370,70,14770,48,110060,338
202206010309,12,190,580,860,1260,3590,5270,17,2630,6,28190,91
202206010310,13,360,800,1490,1310,4970,1540,2,3010,8,10730,26
202206010311,16,430,1330,2460,3230,11330,22620,94,194090,403,742810,1844
202206010312,14,250,630,1070,1010,3830,1560,5,1480,4,7350,16
202206010401,16,180,370,530,1030,2710,7720,23,1210,3,18020,61
202206010402,16,190,550,840,1200,3150,1660,6,26530,59,133040,285
202206010403,15,200,480,780,900,3090,8900,29,5890,21,57590,166
